path	duration	peak	rms
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMining_003.mp3	1.071	0.8635	0.0620
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMining_004.mp3	0.914	0.8522	0.0934
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlank_medium_000.mp3	0.862	0.8284	0.0579
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlank_medium_001.mp3	0.836	0.8512	0.0851
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlank_medium_002.mp3	0.862	0.8539	0.0800
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlank_medium_003.mp3	0.836	0.8623	0.0765
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlank_medium_004.mp3	0.836	0.8065	0.0501
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_heavy_000.mp3	0.575	0.8446	0.0648
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_heavy_001.mp3	0.418	0.8510	0.1171
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_heavy_002.mp3	0.575	0.8050	0.0713
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_heavy_003.mp3	0.418	0.8065	0.1109
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_heavy_004.mp3	0.627	0.8358	0.0734
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_light_000.mp3	0.627	0.8230	0.0466
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_light_001.mp3	0.731	0.7792	0.0376
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_light_002.mp3	0.575	0.7775	0.0470
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_light_003.mp3	0.627	0.8098	0.0517
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_light_004.mp3	0.731	0.8235	0.0432
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_medium_000.mp3	0.679	0.8059	0.0469
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_medium_001.mp3	0.679	0.8352	0.0542
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_medium_002.mp3	0.601	0.8133	0.0538
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_medium_003.mp3	0.731	0.8473	0.0690
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPlate_medium_004.mp3	0.627	0.8834	0.0721
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPunch_heavy_000.mp3	0.731	0.8450	0.1120
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPunch_heavy_001.mp3	0.601	0.8381	0.1197
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPunch_heavy_002.mp3	0.549	0.8507	0.1285
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPunch_heavy_003.mp3	0.549	0.8642	0.1227
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPunch_heavy_004.mp3	0.601	0.8422	0.1202
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPunch_medium_000.mp3	0.522	0.8301	0.1189
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPunch_medium_001.mp3	0.470	0.8482	0.1261
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPunch_medium_002.mp3	0.627	0.8679	0.1022
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPunch_medium_003.mp3	0.522	0.8456	0.1088
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactPunch_medium_004.mp3	0.627	0.8450	0.1041
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactSoft_heavy_000.mp3	0.601	0.8522	0.1203
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactSoft_heavy_001.mp3	0.627	0.8535	0.1224
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactSoft_heavy_002.mp3	0.627	0.8616	0.1262
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactSoft_heavy_003.mp3	0.627	0.8556	0.1321
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactSoft_heavy_004.mp3	0.575	0.8474	0.1283
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactSoft_medium_000.mp3	0.209	0.8641	0.1382
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactSoft_medium_001.mp3	0.261	0.8640	0.1441
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactSoft_medium_002.mp3	0.209	0.8499	0.1483
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactSoft_medium_003.mp3	0.209	0.8623	0.1508
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactSoft_medium_004.mp3	0.209	0.8614	0.1505
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactTin_medium_000.mp3	0.235	0.8479	0.0705
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactTin_medium_001.mp3	0.261	0.8166	0.0573
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactTin_medium_002.mp3	0.209	0.8173	0.0629
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactTin_medium_003.mp3	0.287	0.8270	0.0561
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactTin_medium_004.mp3	0.261	0.7984	0.0579
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_heavy_000.mp3	0.392	0.8494	0.0887
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_heavy_001.mp3	0.392	0.8545	0.0878
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_heavy_002.mp3	0.392	0.8546	0.0958
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_heavy_003.mp3	0.392	0.8487	0.0810
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_heavy_004.mp3	0.392	0.8547	0.0838
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_light_000.mp3	0.340	0.8050	0.0639
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_light_001.mp3	0.340	0.8419	0.0520
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_light_002.mp3	0.340	0.8453	0.0666
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_light_003.mp3	0.340	0.8639	0.0549
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_light_004.mp3	0.340	0.8055	0.0479
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactWood_medium_000.mp3	0.418	0.8363	0.0631
